Date,Ticker,Close,High,Low,Open,Volume,SMA20,STD,Upper,Lower,Signal,Position,Market Return,Strategy Return,Cumulative Market,Cumulative Strategy
2020-01-30,NVDA,6.118607521057129,6.132049205400673,5.959052562948683,6.01406272259242,290504000,6.104220008850097,0.12333089039032867,6.350881789630755,5.85755822806944,0,0.0,,,,
2020-01-31,NVDA,5.885122776031494,6.084753483041502,5.843305057017128,6.072805427674614,370420000,6.099888849258423,0.1295901858269547,6.359069220912332,5.8407084776045135,0,0.0,-0.03815978459512226,-0.0,0.9618402154048777,1.0
2020-02-03,NVDA,5.98220157623291,6.001616814042242,5.860730288532247,5.866953096816272,255564000,6.105190730094909,0.12189598199818297,6.3489826940912755,5.861398766098543,0,0.0,0.01649562870579202,0.0,0.9777063744724956,1.0
2020-02-04,NVDA,6.151464939117432,6.170631874773576,6.074052282518847,6.124084484181325,271544000,6.117723727226258,0.11228259275888083,6.342288912744019,5.893158541708496,0,0.0,0.028294493377989616,0.0,1.0053700810106259,1.0
2020-02-05,NVDA,6.241820812225342,6.282642946634666,6.158433663355791,6.272437294339877,208220000,6.131202530860901,0.11005802770713666,6.351318586275174,5.911086475446628,0,0.0,0.014688513061877906,0.0,1.0201374725775716,1.0
2020-02-06,NVDA,6.328692436218262,6.328692436218262,6.1950247854163525,6.27617149723825,218284000,6.148464894294738,0.1127066196788984,6.373878133652536,5.923051654936941,0,0.0,0.013917673481233406,0.0,1.034335412826877,1.0
2020-02-07,NVDA,6.262480735778809,6.31077052362845,6.237090995388067,6.28861681432532,189752000,6.1591309070587155,0.11290793390002245,6.3849467748587605,5.93331503925867,0,0.0,-0.010462145396817224,-0.0,1.0235140453488052,1.0
2020-02-10,NVDA,6.545746803283691,6.546493141371344,6.280152994350904,6.285131430220577,529608000,6.182342314720154,0.14046700850302224,6.463276331726199,5.901408297714109,-1,0.0,0.04523224572756401,0.0,1.0698098841536354,1.0
2020-02-11,NVDA,6.668214321136475,6.782964771080069,6.592046043560209,6.654026298752604,638556000,6.202143549919128,0.17696950668550632,6.556082563290141,5.848204536548116,-1,-1.0,0.01870947983984772,-0.01870947983984772,1.0898254706136776,0.9812905201601523
2020-02-12,NVDA,6.783959865570068,6.790431927775322,6.682153073689096,6.720984022611155,374644000,6.2335816621780396,0.2190391849639901,6.67166003210602,5.795503292250059,-1,-1.0,0.01735780208304205,-0.01735780208304205,1.108742445437648,0.9642574735252469
2020-02-13,NVDA,6.740149974822998,6.807357436159776,6.698581031458421,6.725961954544467,528016000,6.264957547187805,0.2442904768237067,6.7535385008352184,5.776376593540392,0,-1.0,-0.006457864081627962,0.006457864081627962,1.1015823374234799,0.970484517228967
2020-02-14,NVDA,7.213340759277344,7.342279230927972,7.1190016154884255,7.150364912026992,1041924000,6.315811109542847,0.3225612858132071,6.960933681169261,5.6706885379164325,-1,-1.0,0.07020478568309185,-0.07020478568309185,1.1789186893345747,0.9023518596881485
2020-02-18,NVDA,7.382104396820068,7.40052451416718,7.090623772452754,7.110039007227557,620164000,6.374667286872864,0.3994922379139684,7.173651762700801,5.575682811044927,-1,-1.0,0.02339604396557471,-0.02339604396557471,1.206500722822084,0.8812403959064664
