Ticker,Date,Close,SMA20,Upper,Lower,Signal,Position,Market Return,Strategy Return
NVDA,2020-01-02,5.97174596786499,,,,0,0.0,,
NVDA,2020-01-03,5.876163959503174,,,,0,0.0,-0.016005705680743887,-0.0
NVDA,2020-01-06,5.900804996490479,,,,0,0.0,0.004193388264371878,0.0
NVDA,2020-01-07,5.972244739532471,,,,0,0.0,0.012106779174109406,0.0
NVDA,2020-01-08,5.983445167541504,,,,0,0.0,0.0018754134328913263,0.0
NVDA,2020-01-09,6.049160480499268,,,,0,0.0,0.010982855381419743,0.0
NVDA,2020-01-10,6.081518650054932,,,,0,0.0,0.00534920005180517,0.0
NVDA,2020-01-13,6.272189617156982,,,,0,0.0,0.03135252526115795,0.0
NVDA,2020-01-14,6.155197620391846,,,,0,0.0,-0.018652496800338425,-0.0
NVDA,2020-01-15,6.1126322746276855,,,,0,0.0,-0.006915349983750874,-0.0
NVDA,2020-01-16,6.196269512176514,,,,0,0.0,0.013682687554425588,0.0
NVDA,2020-01-17,6.204980850219727,,,,0,0.0,0.0014059004415631904,0.0
NVDA,2020-01-21,6.171627044677734,,,,0,0.0,-0.005375327716089728,-0.0
NVDA,2020-01-22,6.225641250610352,,,,0,0.0,0.008752020422102103,0.0
NVDA,2020-01-23,6.294094085693359,,,,0,0.0,0.010995306720620546,0.0
NVDA,2020-01-24,6.234851837158203,,,,0,0.0,-0.00941235509488414,-0.0
NVDA,2020-01-27,5.9789652824401855,,,,0,0.0,-0.04104132085272594,-0.0
NVDA,2020-01-28,6.172372817993164,,,,0,0.0,0.032347994413181036,0.0
NVDA,2020-01-29,6.111886501312256,,,,0,0.0,-0.009799524180487573,-0.0
NVDA,2020-01-30,6.118607521057129,6.104220008850097,6.350881789630755,5.85755822806944,0,0.0,0.0010996637034130785,0.0
NVDA,2020-01-31,5.885122776031494,6.099888849258423,6.359069220912332,5.8407084776045135,0,0.0,-0.03815978459512226,-0.0
NVDA,2020-02-03,5.98220157623291,6.105190730094909,6.3489826940912755,5.861398766098543,0,0.0,0.01649562870579202,0.0
NVDA,2020-02-04,6.151464939117432,6.117723727226258,6.342288912744019,5.893158541708496,0,0.0,0.028294493377989616,0.0
